DataType,Code,LocalAuthority,Period,Value,Numerator,Denominator
Real,SW08,Moray,2016-17,822.6966549,7206,8759
Real,SW08,Moray,2017-18,936.0797045,8362,8933
Real,SW08,Moray,2018-19,1063.262195,9765,9184
Real,SW08,Moray,2019-20,767.6960628,7234,9423
Real,SW08,Moray,2020-21,492.743106,4753,9646
Real,SW08,Moray,2021-22,754.9415087,7486,9916
Real,SW08,Moray,2022-23,1060.709964,10518,9916
Real,SW08,Moray,2023-24,571.5006051,5667,9916
Real,SW08,North Ayrshire,2016-17,550.1636204,6893,12529
Real,SW08,North Ayrshire,2017-18,1013.068315,12946,12779
Real,SW08,North Ayrshire,2018-19,1126.184423,14619,12981
Real,SW08,North Ayrshire,2019-20,1328.713761,17737,13349
Real,SW08,North Ayrshire,2020-21,381.6432272,5156,13510
Real,SW08,North Ayrshire,2021-22,805.2723566,11058,13732
Real,SW08,North Ayrshire,2022-23,1037.867754,14252,13732
Real,SW08,North Ayrshire,2023-24,729.9737839,10024,13732
Real,SW08,North Lanarkshire,2016-17,690.4692266,16525,23933
Real,SW08,North Lanarkshire,2017-18,1008.959168,24438,24221
Real,SW08,North Lanarkshire,2018-19,996.3375926,24484,24574
Real,SW08,North Lanarkshire,2019-20,1108.725844,27941,25201
Real,SW08,North Lanarkshire,2020-21,781.3580635,19884,25448
Real,SW08,North Lanarkshire,2021-22,821.0097087,21141,25750
Real,SW08,North Lanarkshire,2022-23,969.6699029,24969,25750
Real,SW08,North Lanarkshire,2023-24,671.0291262,17279,25750
Real,SW08,Orkney Islands,2016-17,295.1891639,632,2141
Real,SW08,Orkney Islands,2017-18,381.0160428,855,2244
Real,SW08,Orkney Islands,2018-19,162.4733475,381,2345
Real,SW08,Orkney Islands,2019-20,454.3585526,1105,2432
Real,SW08,Orkney Islands,2020-21,397.3799127,1001,2519
Real,SW08,Orkney Islands,2021-22,619.0476191,1599,2583
Real,SW08,Orkney Islands,2022-23,509.8722416,1317,2583
Real,SW08,Orkney Islands,2023-24,767.7119628,1983,2583
Real,SW08,Perth & Kinross,2016-17,619.3693694,9625,15540
Real,SW08,Perth & Kinross,2017-18,658.1046285,10479,15923
Real,SW08,Perth & Kinross,2018-19,547.6571148,8906,16262
Real,SW08,Perth & Kinross,2019-20,502.3710907,8369,16659
Real,SW08,Perth & Kinross,2020-21,197.0560304,3320,16848
Real,SW08,Perth & Kinross,2021-22,593.7662638,10268,17293
Real,SW08,Perth & Kinross,2022-23,939.1661366,16241,17293
Real,SW08,Perth & Kinross,2023-24,437.1132828,7559,17293
Real,SW08,Renfrewshire,2016-17,69.11016367,1005,14542
Real,SW08,Renfrewshire,2017-18,189.8958262,2789,14687
Real,SW08,Renfrewshire,2018-19,245.92373,3650,14842
Real,SW08,Renfrewshire,2019-20,382.583682,5852,15296
Real,SW08,Renfrewshire,2020-21,368.2438993,5689,15449
Real,SW08,Renfrewshire,2021-22,295.9196808,4598,15538
Real,SW08,Renfrewshire,2022-23,265.928691,4132,15538
Real,SW08,Renfrewshire,2023-24,97.50289613,1515,15538
